order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit,discount_rate,expected_revenue,revenue_gap,profit_margin,loss_flag,month,year,Size_Apparel,size_apparel
2000,Kids,Training,SuperRep Go,M,2.0,5280.57,0.47,0.0,2024-03-09,Online,bengaluru,-770.45,0.47,10561.14,10561.14,0.0,Loss,3,2024,M,M
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,0.0,2024-07-09,Retail,Hyd,-112.53,0.0,14873.79,14873.79,0.0,Loss,7,2024,M,M
2014,Women,Running,React Infinity,11,2.0,6492.155000000001,0.0,0.0,2025-04-12,Online,Bangalore,-1044.4,0.0,12984.310000000001,12984.310000000001,0.0,Loss,4,2025,L,L
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6383.24,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64,0.16,6383.24,6383.24,0.0,Profit,8,2024,XL,XL
2029,Men,Training,ZoomX Invincible,12,0.0,6897.68,0.0,0.0,2023-10-28,Online,Bangalore,-185.67,0.0,0.0,0.0,0.0,Loss,10,2023,XL,XL
2031,Men,Soccer,Premier III,,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7,0.82,13972.16,11457.17,0.13944389440912291,Profit,5,2024,XL,XL
2043,Men,Soccer,Premier III,XL,2.0,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75,0.77,6985.78,6985.78,0.0,Profit,5,2024,XL,XL
2044,Kids,Training,SuperRep Go,,2.0,5280.57,0.0,0.0,2023-09-06,Online,Delhi,2174.71,0.0,10561.14,10561.14,0.0,Profit,9,2023,XL,XL
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6202.99,0.0,0.0,2025-04-06,Retail,Delhi,1833.94,0.0,24811.96,24811.96,0.0,Profit,4,2025,XL,XL
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,0.0,2024-06-13,Retail,Bangalore,2888.68,0.0,8577.75,8577.75,0.0,Profit,6,2024,L,L
2051,Women,Basketball,Air Jordan,XL,2.0,6235.71,0.37,0.0,2024-01-05,Retail,Delhi,3135.98,0.37,12471.42,12471.42,0.0,Profit,1,2024,XL,XL
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.0,0.0,2024-10-08,Retail,Pune,2184.8,0.0,27467.879999999997,27467.879999999997,0.0,Profit,10,2024,L,L
2056,Men,Running,React Infinity,L,3.0,6492.155000000001,0.0,0.0,2024-05-31,Retail,Bangalore,-244.44,0.0,19476.465000000004,19476.465000000004,0.0,Loss,5,2024,L,L
2059,Kids,Soccer,Phantom GT,,-1.0,9507.54,0.0,0.0,2023-12-27,Retail,Delhi,291.28,0.0,-9507.54,-9507.54,0.0,Profit,12,2023,XL,XL
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.0,0.0,2024-07-11,Online,bengaluru,2821.59,0.0,15958.52,15958.52,0.0,Profit,7,2024,L,L
2065,Women,Lifestyle,Waffle One,10,2.0,5637.46,0.78,0.0,2024-02-11,Retail,Hyd,21.58,0.78,11274.92,11274.92,0.0,Profit,2,2024,L,L
2066,Men,Soccer,Phantom GT,XL,-1.0,5259.05,0.0,0.0,2024-12-10,Online,Mumbai,1022.82,0.0,-5259.05,-5259.05,0.0,Profit,12,2024,XL,XL
2069,Women,Training,SuperRep Go,,2.0,7502.24,0.0,0.0,2025-07-14,Online,Pune,3554.58,0.0,15004.48,15004.48,0.0,Profit,7,2025,XL,XL
2077,Men,Training,ZoomX Invincible,L,2.0,6897.68,0.0,0.0,2023-11-21,Online,Pune,3332.66,0.0,13795.36,13795.36,0.0,Profit,11,2023,L,L
2080,Men,Lifestyle,Blazer Mid,L,2.0,6383.24,0.0,0.0,2025-03-31,Online,Bangalore,-1005.89,0.0,12766.48,12766.48,0.0,Loss,3,2025,L,L
2028,Men,Running,Free RN,,-1.0,6293.58,0.21,0.0,2024-02-14,Online,Hyderabad,3303.01,0.21,-6293.58,-6293.58,0.0,Profit,2,2024,XL,XL
2084,Men,Training,Metcon 7,M,2.0,5890.69,0.0,0.0,2023-12-24,Online,Mumbai,408.39,0.0,11781.38,11781.38,0.0,Profit,12,2023,M,M
2086,Men,Soccer,Mercurial Superfly,L,0.0,6569.65,0.45,0.0,2024-10-11,Online,Kolkata,1742.66,0.45,0.0,0.0,0.0,Profit,10,2024,L,L
2098,Men,Training,ZoomX Invincible,L,2.0,5690.69,0.69,0.0,2024-01-24,Online,hyderbad,98.3,0.69,11381.38,11381.38,0.0,Profit,1,2024,L,L
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0.0,0.0,2025-07-11,Retail,Mumbai,2287.57,0.0,5937.52,5937.52,0.0,Profit,7,2025,M,M
2110,Kids,Running,Air Zoom,12,1.0,5550.99,0.42,0.0,2024-12-25,Retail,Pune,-259.29,0.42,5550.99,5550.99,0.0,Loss,12,2024,XL,XL
2113,Women,Basketball,Air Jordan,XL,2.0,3939.34,0.0,0.0,2023-12-19,Retail,Pune,2918.93,0.0,7878.68,7878.68,0.0,Profit,12,2023,XL,XL
2117,Women,Training,SuperRep Go,L,0.0,7645.96,0.0,0.0,2024-10-30,Online,Pune,2037.43,0.0,0.0,0.0,0.0,Profit,10,2024,L,L
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,0.0,0.0,2023-09-21,Online,hyderbad,2696.85,0.0,16853.08,16853.08,0.0,Profit,9,2023,XL,XL
2000,Kids,Running,React Infinity,M,-1.0,6492.155000000001,0.0,0.0,2023-11-20,Retail,Kolkata,929.75,0.0,-6492.155000000001,-6492.155000000001,0.0,Profit,11,2023,M,M
2127,Men,Training,Metcon 7,L,-1.0,4020.5,0.0,0.0,2023-08-19,Online,Mumbai,3718.37,0.0,-4020.5,-4020.5,0.0,Profit,8,2023,L,L
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,hyderbad,2422.38,0.74,18213.22,13477.780000000002,0.5115427499873296,Profit,11,2024,L,L
2136,Kids,Training,ZoomX Invincible,L,1.0,6897.68,0.0,0.0,2024-09-15,Online,Pune,3672.24,0.0,6897.68,6897.68,0.0,Profit,9,2024,L,L
2141,Kids,Soccer,Tiempo Legend,,2.0,6045.785,1.1,0.0,2023-11-22,Retail,Kolkata,-1032.47,1.1,12091.57,12091.57,0.0,Loss,11,2023,XL,XL
2142,Kids,Soccer,Mercurial Superfly,,2.0,6569.65,0.0,0.0,2024-10-03,Retail,Kolkata,-995.59,0.0,13139.3,13139.3,0.0,Loss,10,2024,XL,XL
2147,Women,Soccer,Phantom GT,XL,-1.0,6320.59,0.0,0.0,2024-09-14,Online,Hyderabad,-426.53,0.0,-6320.59,-6320.59,0.0,Loss,9,2024,XL,XL
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,0.0,0.0,2025-05-27,Online,bengaluru,2000.85,0.0,22479.0,22479.0,0.0,Profit,5,2025,L,L
2154,Kids,Lifestyle,Blazer Mid,XL,2.0,2963.16,0.0,0.0,2025-04-01,Online,Bangalore,2381.85,0.0,5926.32,5926.32,0.0,Profit,4,2025,XL,XL
2160,Kids,Running,Air Zoom,XL,2.0,5550.99,0.0,0.0,2025-03-01,Retail,Mumbai,3744.91,0.0,11101.98,11101.98,0.0,Profit,3,2025,XL,XL
2168,Women,Running,Pegasus Turbo,,2.0,5644.675,0.85,0.0,2024-08-01,Retail,Kolkata,3011.49,0.85,11289.35,11289.35,0.0,Profit,8,2024,XL,XL
2022,Women,Lifestyle,Air Force 1,L,2.0,9378.52,1.06,0.0,2023-10-29,Retail,Mumbai,128.92,1.06,18757.04,18757.04,0.0,Profit,10,2023,L,L
2177,Women,Lifestyle,Waffle One,XL,2.0,5637.46,0.0,0.0,2025-06-27,Retail,Mumbai,885.37,0.0,11274.92,11274.92,0.0,Profit,6,2025,XL,XL
2179,Women,Training,ZoomX Invincible,M,3.0,6897.68,0.0,0.0,2024-01-26,Retail,Pune,3135.92,0.0,20693.04,20693.04,0.0,Profit,1,2024,M,M
2180,Women,Basketball,LeBron 20,XL,2.0,6431.1900000000005,0.0,0.0,2024-05-15,Online,Pune,2189.84,0.0,12862.380000000001,12862.380000000001,0.0,Profit,5,2024,XL,XL
2192,Men,Basketball,Kyrie Flytrap,XL,-1.0,5066.14,0.0,0.0,2023-10-13,Retail,Delhi,554.91,0.0,-5066.14,-5066.14,0.0,Profit,10,2023,XL,XL
2193,Women,Lifestyle,Waffle One,XL,-1.0,5637.46,1.24,0.0,2025-01-17,Retail,Delhi,1803.66,1.24,-5637.46,-5637.46,0.0,Profit,1,2025,XL,XL
2196,Kids,Soccer,Premier III,L,2.0,2708.73,0.0,0.0,2025-06-30,Online,Delhi,925.63,0.0,5417.46,5417.46,0.0,Profit,6,2025,L,L
2197,Kids,Training,ZoomX Invincible,L,3.0,6897.68,0.0,0.0,2024-10-06,Online,bengaluru,-418.5,0.0,20693.04,20693.04,0.0,Loss,10,2024,L,L
2201,Women,Training,SuperRep Go,11,2.0,5280.57,0.0,0.0,2024-05-10,Online,Mumbai,1403.56,0.0,10561.14,10561.14,0.0,Profit,5,2024,L,L
2000,Kids,Training,Metcon 7,,4.0,5890.69,0.94,0.0,2024-02-27,Retail,bengaluru,2372.82,0.94,23562.76,23562.76,0.0,Profit,2,2024,XL,XL
2221,Kids,Lifestyle,Waffle One,L,2.0,3375.97,0.0,0.0,2024-01-06,Retail,Mumbai,-297.05,0.0,6751.94,6751.94,0.0,Loss,1,2024,L,L
2222,Men,Training,ZoomX Invincible,XL,2.0,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69,0.11,17794.38,1957.380000000001,0.1781707394077161,Profit,12,2024,XL,XL
2223,Kids,Training,Flex Trainer,M,-1.0,9180.15,0.0,0.0,2025-02-15,Online,Kolkata,799.28,0.0,-9180.15,-9180.15,0.0,Profit,2,2025,M,M
2231,Kids,Training,Flex Trainer,9,0.0,6383.55,1.05,0.0,2025-01-04,Online,bengaluru,-39.48,1.05,0.0,0.0,0.0,Loss,1,2025,M,M
2234,Men,Training,Flex Trainer,,4.0,6189.1,1.12,-2970.77,2024-12-21,Retail,bengaluru,2085.62,1.12,24756.4,27727.170000000002,-0.7020469440582744,Profit,12,2024,XL,XL
2248,Men,Training,Metcon 7,M,4.0,8249.96,0.24,25079.88,2024-01-16,Online,bengaluru,1625.14,0.24,32999.84,7919.9599999999955,0.06479855565497124,Profit,1,2024,M,M
2249,Men,Training,Flex Trainer,M,2.0,7730.77,0.0,0.0,2024-05-28,Online,Delhi,-692.94,0.0,15461.54,15461.54,0.0,Loss,5,2024,M,M
2250,Men,Basketball,Kyrie Flytrap,XL,2.0,5066.14,0.0,0.0,2024-10-01,Retail,Pune,821.13,0.0,10132.28,10132.28,0.0,Profit,10,2024,XL,XL
2258,Women,Lifestyle,Dunk Low,L,2.0,6202.99,0.39,0.0,2023-11-21,Online,Mumbai,2824.7,0.39,12405.98,12405.98,0.0,Profit,11,2023,L,L
2262,Women,Running,Pegasus Turbo,L,0.0,5644.675,0.0,0.0,2024-09-15,Retail,Pune,3146.93,0.0,0.0,0.0,0.0,Profit,9,2024,L,L
2264,Men,Training,ZoomX Invincible,,4.0,5622.32,1.08,-1799.14,2024-04-22,Retail,bengaluru,1248.25,1.08,22489.28,24288.42,-0.6938037062151917,Profit,4,2024,XL,XL
2267,Women,Running,Air Zoom,M,-1.0,3075.72,0.0,0.0,2024-12-20,Retail,Kolkata,238.78,0.0,-3075.72,-3075.72,0.0,Profit,12,2024,M,M
2268,Men,Soccer,Mercurial Superfly,M,3.0,7330.81,0.0,0.0,2023-11-16,Online,Kolkata,518.71,0.0,21992.43,21992.43,0.0,Profit,11,2023,M,M
2269,Women,Training,ZoomX Invincible,11,4.0,6424.32,0.0,0.0,2024-07-14,Retail,Mumbai,-405.26,0.0,25697.28,25697.28,0.0,Loss,7,2024,L,L
2271,Kids,Lifestyle,Waffle One,9,2.0,5116.58,0.07,0.0,2024-05-03,Retail,Delhi,1293.94,0.07,10233.16,10233.16,0.0,Profit,5,2024,M,M
2273,Kids,Running,Free RN,M,-1.0,4004.36,0.0,0.0,2024-01-30,Online,Kolkata,-614.66,0.0,-4004.36,-4004.36,0.0,Loss,1,2024,M,M
2276,Kids,Lifestyle,Air Force 1,L,-1.0,6066.5,0.0,0.0,2023-08-29,Retail,Kolkata,1181.87,0.0,-6066.5,-6066.5,0.0,Profit,8,2023,L,L
2279,Women,Lifestyle,Blazer Mid,6,2.0,6383.24,0.0,0.0,2024-08-03,Retail,Mumbai,766.72,0.0,12766.48,12766.48,0.0,Profit,8,2024,S,S
2281,Kids,Lifestyle,Waffle One,M,2.0,5637.46,0.0,0.0,2025-07-13,Retail,Kolkata,1753.48,0.0,11274.92,11274.92,0.0,Profit,7,2025,M,M
2286,Women,Lifestyle,Waffle One,,2.0,5637.46,0.0,0.0,2024-10-16,Online,Bangalore,2419.09,0.0,11274.92,11274.92,0.0,Profit,10,2024,XL,XL
2317,Men,Training,Flex Trainer,M,2.0,9695.44,1.06,0.0,2024-09-13,Online,Kolkata,32.45,1.06,19390.88,19390.88,0.0,Profit,9,2024,M,M
2321,Men,Lifestyle,Dunk Low,8,2.0,6202.99,0.0,0.0,2024-06-10,Online,Mumbai,-362.47,0.0,12405.98,12405.98,0.0,Loss,6,2024,M,M
2332,Kids,Training,Flex Trainer,,-1.0,6383.55,0.22,0.0,2024-07-15,Retail,Pune,2914.06,0.22,-6383.55,-6383.55,0.0,Profit,7,2024,XL,XL
2334,Women,Training,SuperRep Go,L,4.0,5280.57,0.82,0.0,2024-06-06,Retail,Mumbai,-80.25,0.82,21122.28,21122.28,0.0,Loss,6,2024,L,L
2335,Women,Running,Free RN,XL,0.0,5620.64,0.0,0.0,2024-01-05,Online,Mumbai,217.22,0.0,0.0,0.0,0.0,Profit,1,2024,XL,XL
2336,Kids,Soccer,Mercurial Superfly,8,4.0,8482.43,0.0,0.0,2023-10-22,Online,Pune,3854.71,0.0,33929.72,33929.72,0.0,Profit,10,2023,M,M
2342,Women,Training,Metcon 7,XL,2.0,5890.69,0.0,0.0,2024-08-19,Retail,Kolkata,3463.09,0.0,11781.38,11781.38,0.0,Profit,8,2024,XL,XL
2348,Kids,Training,Metcon 7,XL,2.0,6591.41,0.0,0.0,2025-04-29,Retail,Delhi,2604.68,0.0,13182.82,13182.82,0.0,Profit,4,2025,XL,XL
2349,Kids,Soccer,Tiempo Legend,10,3.0,6045.785,0.0,0.0,2023-10-25,Online,Delhi,-902.62,0.0,18137.355,18137.355,0.0,Loss,10,2023,L,L
2353,Kids,Training,ZoomX Invincible,9,0.0,6897.68,0.22,0.0,2024-10-03,Retail,Bangalore,818.35,0.22,0.0,0.0,0.0,Profit,10,2024,M,M
2368,Women,Lifestyle,Waffle One,L,2.0,5582.98,0.0,0.0,2023-08-04,Retail,Delhi,2369.28,0.0,11165.96,11165.96,0.0,Profit,8,2023,L,L
2372,Men,Running,Free RN,,2.0,7624.86,0.0,0.0,2025-05-23,Online,Kolkata,3365.96,0.0,15249.72,15249.72,0.0,Profit,5,2025,XL,XL
2006,Women,Basketball,Zoom Freak,L,-1.0,8799.22,0.0,0.0,2023-08-13,Retail,Bangalore,-1109.57,0.0,-8799.22,-8799.22,0.0,Loss,8,2023,L,L
2379,Men,Lifestyle,Air Force 1,L,4.0,6323.09,0.0,0.0,2024-04-09,Online,Mumbai,3289.77,0.0,25292.36,25292.36,0.0,Profit,4,2024,L,L
2382,Men,Lifestyle,Waffle One,L,4.0,5637.46,0.0,0.0,2024-03-09,Retail,Mumbai,787.42,0.0,22549.84,22549.84,0.0,Profit,3,2024,L,L
2394,Kids,Lifestyle,Air Force 1,XL,2.0,6323.09,0.2,0.0,2023-08-18,Online,Delhi,-133.03,0.2,12646.18,12646.18,0.0,Loss,8,2023,XL,XL
2397,Men,Soccer,Phantom GT,XL,2.0,6320.59,0.0,0.0,2023-12-27,Retail,Mumbai,3996.96,0.0,12641.18,12641.18,0.0,Profit,12,2023,XL,XL
2399,Women,Running,Air Zoom,L,-1.0,6188.29,0.0,0.0,2024-08-07,Retail,Pune,515.6,0.0,-6188.29,-6188.29,0.0,Profit,8,2024,L,L
2025,Kids,Training,ZoomX Invincible,XL,4.0,6743.07,0.0,0.0,2024-10-09,Online,Pune,-277.41,0.0,26972.28,26972.28,0.0,Loss,10,2024,XL,XL
2402,Kids,Running,React Infinity,,2.0,6437.85,0.0,0.0,2025-03-09,Online,Mumbai,1231.3,0.0,12875.7,12875.7,0.0,Profit,3,2025,XL,XL
2404,Men,Lifestyle,Blazer Mid,XL,2.0,6383.24,0.09,0.0,2024-01-25,Online,Pune,-501.36,0.09,12766.48,12766.48,0.0,Loss,1,2024,XL,XL
2405,Men,Basketball,Kyrie Flytrap,6,1.0,5066.14,0.0,0.0,2024-11-17,Online,Kolkata,69.95,0.0,5066.14,5066.14,0.0,Profit,11,2024,S,S
2406,Men,Training,Metcon 7,L,4.0,6458.72,0.0,0.0,2023-09-17,Online,Mumbai,402.0,0.0,25834.88,25834.88,0.0,Profit,9,2023,L,L
2407,Kids,Running,Free RN,6,2.0,9193.15,0.0,0.0,2023-12-30,Online,Kolkata,521.77,0.0,18386.3,18386.3,0.0,Profit,12,2023,S,S
2414,Women,Basketball,Air Jordan,XL,2.0,8141.8,0.0,0.0,2024-01-25,Online,Hyd,-829.35,0.0,16283.6,16283.6,0.0,Loss,1,2024,XL,XL
2418,Men,Soccer,Phantom GT,XL,2.0,9288.75,0.54,0.0,2025-04-29,Retail,Mumbai,3110.43,0.54,18577.5,18577.5,0.0,Profit,4,2025,XL,XL
2419,Men,Lifestyle,Dunk Low,L,2.0,8738.99,0.47,0.0,2024-07-14,Online,Hyderabad,2868.49,0.47,17477.98,17477.98,0.0,Profit,7,2024,L,L
2420,Kids,Basketball,Zoom Freak,9,2.0,6435.66,1.02,0.0,2024-04-11,Online,hyderbad,1664.6,1.02,12871.32,12871.32,0.0,Profit,4,2024,M,M
2421,Women,Running,React Infinity,M,2.0,8136.39,0.0,0.0,2025-03-10,Retail,Pune,3398.15,0.0,16272.78,16272.78,0.0,Profit,3,2025,M,M
2025,Kids,Training,Flex Trainer,11,2.0,4554.97,0.0,0.0,2025-03-05,Retail,hyderbad,2802.1,0.0,9109.94,9109.94,0.0,Profit,3,2025,L,L
2427,Men,Running,Pegasus Turbo,7,2.0,2904.11,0.0,0.0,2025-06-13,Online,Delhi,1683.98,0.0,5808.22,5808.22,0.0,Profit,6,2025,S,S
2432,Women,Basketball,Zoom Freak,L,1.0,3036.61,0.86,425.13,2024-10-26,Online,Mumbai,3754.3,0.86,3036.61,2611.48,8.830945828334864,Profit,10,2024,L,L
2435,Kids,Lifestyle,Waffle One,XL,2.0,5853.58,0.0,0.0,2024-04-01,Retail,Kolkata,2378.82,0.0,11707.16,11707.16,0.0,Profit,4,2024,XL,XL
2438,Men,Training,Metcon 7,8,2.0,5890.69,0.0,0.0,2024-11-24,Retail,Mumbai,2965.39,0.0,11781.38,11781.38,0.0,Profit,11,2024,M,M
2444,Women,Lifestyle,Blazer Mid,XL,3.0,3676.04,0.0,0.0,2025-05-25,Retail,Pune,1621.74,0.0,11028.119999999999,11028.119999999999,0.0,Profit,5,2025,XL,XL
2447,Kids,Lifestyle,Waffle One,XL,2.0,5637.46,0.0,0.0,2024-05-04,Online,Kolkata,1291.8,0.0,11274.92,11274.92,0.0,Profit,5,2024,XL,XL
2003,Women,Lifestyle,Waffle One,XL,2.0,8516.45,0.22,13285.66,2023-09-30,Online,Kolkata,1764.52,0.22,17032.9,3747.2400000000016,0.13281387601368694,Profit,9,2023,XL,XL
2451,Kids,Soccer,Premier III,,2.0,5773.245,0.54,0.0,2023-11-04,Online,Mumbai,2233.57,0.54,11546.49,11546.49,0.0,Profit,11,2023,XL,XL
2456,Women,Soccer,Premier III,M,0.0,4254.68,0.0,0.0,2025-03-15,Retail,Kolkata,3498.64,0.0,0.0,0.0,0.0,Profit,3,2025,M,M
2458,Kids,Soccer,Phantom GT,,2.0,6320.59,0.0,0.0,2023-12-20,Retail,Pune,573.21,0.0,12641.18,12641.18,0.0,Profit,12,2023,XL,XL
2459,Kids,Basketball,Air Jordan,M,2.0,3572.52,0.0,0.0,2024-04-20,Retail,Kolkata,-404.04,0.0,7145.04,7145.04,0.0,Loss,4,2024,M,M
2460,Women,Basketball,Zoom Freak,XL,2.0,5482.96,0.35,7127.85,2024-11-04,Online,Kolkata,-823.8,0.35,10965.92,3838.0699999999997,-0.11557482270249794,Loss,11,2024,XL,XL
2462,Men,Basketball,Zoom Freak,8,2.0,4468.7,0.49,0.0,2025-01-23,Retail,Pune,2143.6,0.49,8937.4,8937.4,0.0,Profit,1,2025,M,M
2464,Women,Lifestyle,Blazer Mid,XL,3.0,2699.59,0.0,0.0,2024-06-30,Retail,Hyderabad,3507.56,0.0,8098.77,8098.77,0.0,Profit,6,2024,XL,XL
2467,Kids,Training,SuperRep Go,M,1.0,8484.82,0.0,0.0,2023-11-05,Online,Mumbai,1899.54,0.0,8484.82,8484.82,0.0,Profit,11,2023,M,M
2469,Men,Training,Metcon 7,XL,4.0,5890.69,1.08,0.0,2025-05-21,Retail,Mumbai,-279.26,1.08,23562.76,23562.76,0.0,Loss,5,2025,XL,XL
2475,Men,Running,Free RN,L,2.0,6293.58,1.06,0.0,2025-01-07,Online,bengaluru,3885.97,1.06,12587.16,12587.16,0.0,Profit,1,2025,L,L
2487,Men,Running,Air Zoom,L,3.0,5881.13,0.8,3528.68,2025-03-31,Online,hyderbad,2108.4,0.8,17643.39,14114.71,0.5975038824716326,Profit,3,2025,L,L
